plus,keyword,city,companyShortName,positionName,approve,gradeDescription,industryField,companySize,positionAdvantage,companyLogo,education,salaryMax,businessZones,companyFullName,score,companyId,positionId,createTime,salaryAvg,salary,salaryMin,workYear,formatCreateTime,appShow,companyLabelList,financeStage,adWord,publisherId,lastLogin,district,imState,deliver,pcShow,jobNature
,,北京,宜信,iOS,1,,"移动互联网,金融",2000人以上,六险一金 补充医疗 互联网金融 发展空间大,i/image/M00/01/C8/Cgp3O1Z3lASAVbZHAABCha8eqHY645.jpg,本科,25,,普信恒业科技发展（北京）有限公司,0,3786,2364532,2016-09-13 18:02:09,20.0,15k-25k,15,1-3年,18:02发布,0,"管理规范,技能培训,扁平管理,弹性工作",成熟型(不需要融资),0,5361818,1473734525000,,disabled,0,0,全职
,,北京,巨丰投资,财经频道主持人,1,,金融,150-500人,周末双休、带薪旅游、节假日、五险。,i/image/M00/50/CD/CgqKkVe1LKSAby9YAAATVSLqxUI426.jpg,大专,6,,陕西巨丰投资资讯有限责任公司北京分公司,0,81108,2364530,2016-09-13 18:02:03,5.0,4k-6k,4,1年以下,18:02发布,0,"技能培训,专项奖金,带薪年假,绩效奖金",成长型(不需要融资),0,2210468,1473758196000,,today,0,0,全职
,,上海,棠棣科技,渠道经理,1,,金融,150-500人,上市公司平台好，稳定性强,image1/M00/23/57/Cgo8PFVIKEGAJo2-AABy5EULRWo142.jpg,大专,20,,上海棠棣信息科技有限公司,0,67396,2364529,2016-09-13 18:01:56,15.0,10k-20k,10,5-10年,18:01发布,0,"节日礼物,技能培训,年底双薪,股票期权",上市公司,0,1651634,1473733140000,,today,0,0,全职
,,北京,搜藏天下,销售代表,1,,"电子商务,广告营销",150-500人,高薪 优秀的晋升空间 免费下午茶 五险,image1/M00/00/35/CgYXBlTUXJaADRD1AACH-5a31sk928.jpg,不限,15,,搜藏（北京）网络科技有限公司,0,25526,2364528,2016-09-13 18:01:47,12.5,10k-15k,10,不限,18:01发布,0,"节日礼物,技能培训,年度旅游,岗位晋升",成熟型(D轮及以上),0,306407,1473759396000,,today,0,0,全职
,,福州,闽商金控,财务制度岗,1,,"金融,移动互联网",50-150人,科技银行,i/image/M00/24/B5/CgqKkVcckp-ARQVRAAB5Ny20wyg850.jpg,本科,30,,福建省闽商金控投资有限公司,0,124039,2364526,2016-09-13 18:01:38,22.5,15k-30k,15,不限,18:01发布,0,"股票期权,带薪年假,弹性工作,扁平管理",成长型(不需要融资),0,3824840,1473760107000,,today,0,0,全职
,,北京,互动百科,文案编辑,1,,"电子商务,企业服务",150-500人,五险一金 带薪年假 员工俱乐部 弹性工作制,image1/M00/00/27/Cgo8PFTUWIeAZLdCAABH5_uYMBI958.jpg,大专,10,,互动在线(北京)科技有限公司,0,21194,2364523,2016-09-13 18:01:31,7.5,5k-10k,5,1-3年,18:01发布,0,"节日礼物,技能培训,年度旅游,岗位晋升",成熟型(D轮及以上),0,2161944,1473758694000,,today,0,0,全职
,,上海,容大教育,H5讲师,0,,教育,150-500人,五险一金、晋升空间大、节假日津贴,i/image/M00/01/8D/CgqKkVZvoB2AVITqAAARJDTLofM145.jpg,大专,20,,上海容大教育培训有限公司,0,110252,2364521,2016-09-13 18:01:26,15.0,10k-20k,10,3-5年,18:01发布,0,,初创型(未融资),0,3655572,1473736978000,,disabled,0,0,全职
,,上海,泛微,研发经理（JAVA）,1,,"移动互联网,企业服务",500-2000人,半年调薪，福利奖金多多，稳定，发展前景好,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,大专,35,,上海泛微网络科技股份有限公司,0,24995,2364519,2016-09-13 18:01:17,27.5,20k-35k,20,5-10年,18:01发布,0,"技能培训,带薪年假,绩效奖金,岗位晋升",成熟型(D轮及以上),0,4067176,1473758062000,,today,0,0,全职
,,深圳,有赞,交互设计师-深圳-00050,1,,"移动互联网,电子商务",150-500人,福利完善、弹性上班,image1/M00/00/0F/Cgo8PFTUWCyAYJNeAABHJsjS_70928.png,本科,25,,杭州有赞科技有限公司,0,7461,2364518,2016-09-13 18:01:00,20.0,15k-25k,15,3-5年,18:01发布,0,"全员Mac,工程师氛围,弹性工作,妹子颜值极高",成长型(B轮),0,85745,1473760078000,,today,0,0,全职
,,上海,31会议,大客户代表,0,,"电子商务,企业服务",150-500人,奖金丰厚、年度回款1%的期权分配、工资透明,image1/M00/00/16/Cgo8PFTUWEiAVrYZAAEj-d9YyQk794.png,大专,20,,上海八彦图信息科技有限公司,0,11437,2364515,2016-09-13 18:00:40,15.0,10k-20k,10,1-3年,18:00发布,0,"技能培训,节日礼物,年底双薪,股票期权",成长型(A轮),0,6118809,1473760426000,,disabled,0,0,全职
